"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"마포구","학원","3000035838","생각하는황소마포점학원","서울특별시 마포구 독막로 257-1",", 2층 (대흥동)","입시.검정 및 보습","보통교과","보습","보습","30","70","","Y","N","04151","개원","20191121","","99991231","20191121","20231105"
"마포구","학원","3000035841","리메인디자인학원","서울특별시 마포구 양화로6길 33",", 2층 (서교동)","직업기술","산업응용기술","","디자인","140","70","","Y","N","04044","개원","20191121","","99991231","20191121","20231018"
"마포구","학원","3000035842","어나더레벨영어전문학원","서울특별시 마포구 월드컵북로12안길 21",", 2층 (성산동, 대원빌딩)","입시.검정 및 보습","보통교과","","보습","20","70","","Y","N","03978","개원","20191125","","99991231","20191125","20231018"
"마포구","교습소","3000035846","윙글즈잉글리쉬영어교습소","서울특별시 마포구 독막로19길 7",", 4층 (상수동, 홍현빌딩)","입시.검정 및 보습","보통교과","조등(영어)","보습","9","9","조등(영어):170000","Y","N","04068","개원","20191204","","99991231","20191204","20231018"
"마포구","교습소","3000035847","위너스수학교습소","서울특별시 마포구 토정로31길 55",", 401호 (대흥동)","입시.검정 및 보습","보통교과","","보습","12","4","","Y","N","04152","개원","20191209","","99991231","20191217","20231018"
"마포구","학원","3000035848","리즈무용학원","서울특별시 마포구 마포대로24길 5",", 2층 (아현동)","기예(대)","기예(중)","","무용(전통무용,현대무용)","100","20","","Y","N","04202","개원","20191202","","99991231","20191202","20231018"
"마포구","학원","3000035978","서울플라워디자인학원","서울특별시 마포구 와우산로 180",", 5층 (동교동)","기예(대)","기예(중)","공예(종이접기,꽃꽂이,꽃기예),","공예(종이접기,꽃꽂이,꽃기예)","353","60","","Y","N","04057","개원","20191230","","99991231","20191230","20231018"
"마포구","교습소","3000036024","헤라의영어교습소","서울특별시 마포구 대흥로 80-34",", 3층 302호 (대흥동)","입시.검정 및 보습","보통교과","초등영어","보습","18","3","초등영어:300810, 중등영어(A):330960, 중등영어(B):352800, 고등영어(A):381060, 고등영어(B):400930, 고등영어(C):252840","Y","N","04149","개원","20200106","","99991231","20200106","20231018"
"마포구","학원","3000036026","에듀코치개별지도서강학원","서울특별시 마포구 서강로 69",", 주혜빌딩 4층 (창전동)","입시.검정 및 보습","보통교과","보습","보습","775","90","","Y","N","04065","개원","20191227","","99991231","20191227","20231113"
"마포구","학원","3000036028","피플연기뮤지컬학원","서울특별시 마포구 와우산로 148",", 6층 (창전동, 창무예술원)","기타(대)","기타(중)","연극,","연극","42","60","","Y","N","04059","개원","20191224","","99991231","20191224","20231018"
"마포구","학원","3000036106","마포마운트영수학원","서울특별시 마포구 큰우물로 60",", 2층 201호, 3층 301호 (용강동, 예천빌딩)","입시.검정 및 보습","보통교과","","보습","186","60","","Y","N","04166","개원","20200108","","99991231","20200108","20231018"
"마포구","교습소","3000036178","헤이잉글리쉬영어교습소","서울특별시 마포구 마포대로24길 25-1",", 1층(좌측) (아현동)","입시.검정 및 보습","보통교과","영어 발음(초등저학년)　","보습","20","8","","Y","N","04203","개원","20200120","","99991231","20200120","20231018"
"마포구","교습소","3000036179","리드인마포신석센터교습소","서울특별시 마포구 토정로18길 11",", 상가동 2020호 (현석동, 래미안웰스트림)","입시.검정 및 보습","보통교과","","보습?논술","32","9","","Y","N","04091","개원","20200128","","99991231","20200128","20231018"
"마포구","학원","3000036180","아이들이야기1관어학원","서울특별시 마포구 토정로31길 57-11",", 1~4층 (대흥동)","국제화","외국어","실용외국어(유아/초?중?고),","실용외국어(유아/초?중?고)","76","100","","Y","N","04152","개원","20200113","","99991231","20200113","20231018"
"마포구","학원","3000036200","보이스하모니학원","서울특별시 마포구 희우정로 100-1",", 5층 (망원동, 리빙텔)","기예(대)","기예(중)","","화술","6","45","","Y","N","04007","개원","20200122","","99991231","20200122","20231018"
"마포구","학원","3000036203","리즈수학영어학원","서울특별시 마포구 만리재옛길 98",", 1~2층 (공덕동, 아마스빌딩)","입시.검정 및 보습","보통교과","보습,","보습","234","60","","Y","N","04208","개원","20200122","","99991231","20200122","20231018"
"마포구","학원","3000036209","나우에듀학원","서울특별시 마포구 독막로 267",", 4층 (대흥동)","입시.검정 및 보습","보통교과","","보습","120","60","","Y","N","04151","개원","20200131","","99991231","20200131","20231029"
"마포구","학원","3000036254","YBM잉글루마포아현열린학원","서울특별시 마포구 마포대로21길 44",", 2층 일부, 3층 일부 (아현동)","입시.검정 및 보습","보통교과","","보습","30","70","","Y","Y","04117","개원","20191211","","99991231","20191211","20231018"
"마포구","학원","3000036297","뉴커런츠아카데미컴퓨터학원","서울특별시 마포구 홍익로5안길 28",", 2층201호(좌측일부) (서교동, 스퀘어 빌)","직업기술","컴퓨터","컴퓨터(정보처리,통신기기,인터넷,소프트웨어),","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","80","20","","Y","N","04039","개원","20200210","","99991231","20200210","20231018"
"마포구","교습소","3000036303","라온수학교습소","서울특별시 마포구 월드컵로42길 40",", 2층 212호 (상암동, 상암근린상가)","입시.검정 및 보습","보통교과","수학A(초등)","보습","12","7","","Y","N","03905","개원","20200212","","99991231","20200212","20231018"
"마포구","교습소","3000036320","더블유씨(WC)아뜰리에미술교습소","서울특별시 마포구 성지길 25-24",", 2층 (합정동)","예능(대)","예능(중)","","미술","9","9","","Y","N","04071","개원","20200214","","99991231","20200214","20231018"
"마포구","교습소","3000036321","뮈제드앙팡미술교습소","서울특별시 마포구 월드컵로42길 40",", 상암근린상가 317호 (상암동, 상암근린상가)","예능(대)","예능(중)","고급미술A(유치1)","미술","34","6","","Y","N","03905","개원","20200214","","99991231","20200214","20231018"
"마포구","교습소","3000036322","퍼스트클래스스피치교습소","서울특별시 마포구 대흥로24길 24",", 마포프레스티지자이 상가A동 지1층(도로면3층) 308호 (염리동)","기타(대)","기타(중)","초등스피치","웅변","27","5","","Y","N","04124","개원","20200214","","99991231","20200214","20231018"
"마포구","학원","3000036369","브로드댄스학원","서울특별시 마포구 월드컵로 59",", 4층 (망원동)","예능(대)","예능(중)","","무용","225","75","","Y","N","04018","개원","20200221","","99991231","20200220","20231018"
"마포구","교습소","3000036410","영재해법수학교습소","서울특별시 마포구 만리재옛길 101-1",", 상가동 2동 203호 (아현동, 삼성래미안공덕2차)","입시.검정 및 보습","보통교과","","보습?논술","30","9","","Y","N","04202","개원","20200304","","99991231","20200304","20231018"
